Date,Name,Year,Letterboxd URI,Rating
2018-10-26,X-Men: Apocalypse,2016,https://letterboxd.com/film/x-men-apocalypse/,2
2018-10-26,American Honey,2016,https://letterboxd.com/film/american-honey/,4
2018-10-26,Ant-Man,2015,https://letterboxd.com/film/ant-man/,3.5
2018-10-26,Percy Jackson: Sea of Monsters,2013,https://letterboxd.com/film/percy-jackson-sea-of-monsters/,1
2018-10-26,Captain America: The Winter Soldier,2014,https://letterboxd.com/film/captain-america-the-winter-soldier/,4.5
2018-10-26,Ex Machina,2014,https://letterboxd.com/film/ex-machina-2014/,4
2018-10-26,The Breakfast Club,1985,https://letterboxd.com/film/the-breakfast-club/,4
2018-10-26,Arrival,2016,https://letterboxd.com/film/arrival-2016/,5
2018-10-26,Moonlight,2016,https://letterboxd.com/film/moonlight-2016/,5
2018-10-26,The Martian,2015,https://letterboxd.com/film/the-martian/,3
2018-10-26,Batman v Superman: Dawn of Justice,2016,https://letterboxd.com/film/batman-v-superman-dawn-of-justice/,3
2018-10-26,The Heat,2013,https://letterboxd.com/film/the-heat/,2
2018-10-26,Jackie,2016,https://letterboxd.com/film/jackie-2016/,4
2018-10-26,Nocturnal Animals,2016,https://letterboxd.com/film/nocturnal-animals/,3.5
2018-10-26,Manchester by the Sea,2016,https://letterboxd.com/film/manchester-by-the-sea/,5
2018-10-26,Her,2013,https://letterboxd.com/film/her/,5
2018-10-26,The Edge of Seventeen,2016,https://letterboxd.com/film/the-edge-of-seventeen/,4
2018-10-26,Underworld: Blood Wars,2016,https://letterboxd.com/film/underworld-blood-wars/,0.5
2018-10-26,La La Land,2016,https://letterboxd.com/film/la-la-land/,5
2018-10-26,Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/,5
2018-10-26,Doctor Strange,2016,https://letterboxd.com/film/doctor-strange-2016/,2.5
2018-10-26,20th Century Women,2016,https://letterboxd.com/film/20th-century-women/,5
2018-10-26,Moana,2016,https://letterboxd.com/film/moana-2016/,4
2018-10-26,Star Wars: The Force Awakens,2015,https://letterboxd.com/film/star-wars-the-force-awakens/,4
2018-10-26,Pacific Rim,2013,https://letterboxd.com/film/pacific-rim/,3.5
2018-10-26,Romeo + Juliet,1996,https://letterboxd.com/film/romeo-juliet-1996/,4.5
2018-10-26,The Man from U.N.C.L.E.,2015,https://letterboxd.com/film/the-man-from-uncle/,3.5
2018-10-26,Passengers,2016,https://letterboxd.com/film/passengers-2016/,1
2018-10-26,Batman: Under the Red Hood,2010,https://letterboxd.com/film/batman-under-the-red-hood/,4
2018-10-26,Fantastic Beasts and Where to Find Them,2016,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/,3
2018-10-26,Justice League vs. Teen Titans,2016,https://letterboxd.com/film/justice-league-vs-teen-titans/,3
2018-10-26,A Single Man,2009,https://letterboxd.com/film/a-single-man/,5
2018-10-26,Snowpiercer,2013,https://letterboxd.com/film/snowpiercer/,3
2018-10-26,Psycho,1960,https://letterboxd.com/film/psycho/,5
2018-10-26,Singin' in the Rain,1952,https://letterboxd.com/film/singin-in-the-rain/,4
2018-10-26,Free Fall,2013,https://letterboxd.com/film/free-fall-2013/,3.5
2018-10-26,Logan,2017,https://letterboxd.com/film/logan-2017/,4
2018-10-26,Boys,2014,https://letterboxd.com/film/boys-2014/,3.5
2018-10-26,Sicario,2015,https://letterboxd.com/film/sicario-2015/,4
2018-10-26,Fair Haven,2016,https://letterboxd.com/film/fair-haven/,2.5
2018-10-26,Moulin Rouge!,2001,https://letterboxd.com/film/moulin-rouge-2001/,4
2018-10-26,Prevenge,2016,https://letterboxd.com/film/prevenge/,1
